project_name,builder_name,locality,area,price_min,price_max,price_per_sft,possession_date,construction_progress,land_area_acres,total_units,unit_types,complaints_on_project,complaints_on_builder,land_litigations,property_title_summary,google_reviews_score,distance_from_nearest_office_hub,builder_reliability,density,timeline_reliability,commute_score,latitude,longitude,start_date,RERA_registration_number
NVT Arcot Vaksana,NVT Quality Lifestyle,Sarjapur,Bengaluru East,18913200,36675847,15761,08-12-2024,100,36.98,3106,"1BHK, 2BHK, 3.5BHK, 3BHK",0,10,0,Clear title with no encumbrances.,4.5,1.35,0.81,83,0.8,0.65,12.8844,77.6584,11-03-2019,PRM/KA/RERA/1251/446/PR/669362/71876
Valmark Apas,Valmark Developers,Hulimavu,Bengaluru East,14524826,24801960,14254,27-05-2027,55,33.98,2412,"2BHK, 3.5BHK",0,2,0,Clear title with no encumbrances.,3.8,4.19,0.78,70,0.8,0.88,12.8569,77.6624,24-05-2022,PRM/KA/RERA/1251/446/PR/287898/94911
SNN Raj Serenity,SNN Estates,Begur,Bengaluru East,10331702,41881613,12329,15-12-2023,100,26.95,1805,"1BHK, 2.5BHK, 2BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.0,5.64,0.89,66,0.8,0.75,12.9283,77.7015,10-04-2020,PRM/KA/RERA/1251/446/PR/155827/92632
HM Symphony,HM Constructions,Kasavanahalli,Bengaluru East,11763636,45837128,14156,21-02-2025,74,22.28,1804,"2BHK, 3.5BHK",2,0,1,"Clear, marketable title with disclosed litigation.",4.0,5.03,0.97,80,0.6,0.91,12.9002,77.7422,23-12-2022,PRM/KA/RERA/1251/446/PR/234093/79999
DSR Sunrise,DSR Infraprojects,Whitefield,Bengaluru East,17270000,25434000,15700,21-02-2023,100,38.35,3183,"2.5BHK, 3BHK",2,0,2,"Clear, marketable title with disclosed litigation.",4.6,7.23,0.86,82,1.0,0.8,12.8676,77.7017,19-05-2018,PRM/KA/RERA/1251/446/PR/916734/37204
Vaswani Reserve,Vaswani Group,Marathahalli,Bengaluru East,15264030,60152100,17385,21-03-2027,79,11.76,870,"1BHK, 2.5BHK",0,45,1,"Clear, marketable title with disclosed litigation.",4.7,14.03,0.82,73,0.6,0.9,12.9452,77.7288,16-12-2024,PRM/KA/RERA/1251/446/PR/874301/42883
Shriram Smrithi,Shriram Properties,Sarjapur,Bengaluru East,13965056,40196294,15586,28-02-2025,65,25.05,2429,"1BHK, 3.5BHK, 3BHK, 4BHK",2,10,0,Clear title with no encumbrances.,4.1,9.92,0.76,96,1.0,0.82,12.9608,77.6562,08-03-2022,PRM/KA/RERA/1251/446/PR/980990/32098
Salarpuria Sattva Necklace Pride,Salarpuria Sattva,Tank Bund Road,Bengaluru East,13355100,37062000,15975,06-01-2027,98,25.93,1789,"1BHK, 2BHK",0,0,0,Clear title with no encumbrances.,3.9,6.36,0.8,68,0.9,0.93,12.8675,77.7034,24-01-2024,PRM/KA/RERA/1251/446/PR/238728/39526
Birla Evara,Birla Estates,Varthur,Bengaluru East,8447676,36470512,10468,25-04-2029,84,34.08,2419,"1BHK, 2.5BHK, 2BHK, 4BHK",1,5,1,"Clear, marketable title with disclosed litigation.",4.4,13.73,0.95,70,0.9,0.68,12.9391,77.7013,09-08-2024,PRM/KA/RERA/1251/446/PR/729910/73574
Ozone Promenade,Ozone Group,Whitefield,Bengaluru East,9101507,34990010,10261,15-07-2022,100,36.07,3498,"3BHK, 4BHK",1,10,0,Clear title with no encumbrances.,4.2,3.12,0.95,96,0.8,0.62,12.9896,77.7162,11-05-2018,PRM/KA/RERA/1251/446/PR/853248/15306
MIMS Northbrook,MIMS Builders,Hennur,Bengaluru North,10473901,21069979,11107,05-09-2025,72,39.79,2665,"2.5BHK, 2BHK, 3.5BHK, 3BHK",2,2,0,Clear title with no encumbrances.,4.6,2.97,0.94,66,0.9,0.68,12.9859,77.6629,26-06-2020,PRM/KA/RERA/1251/446/PR/611636/57351
Salarpuria Sattva Greenage,Salarpuria Sattva,Hosur Road,Bengaluru South,18729666,27835020,15726,12-08-2026,18,20.91,1505,"2.5BHK, 3.5BHK",0,5,0,Clear title with no encumbrances.,4.0,7.68,0.96,71,0.8,0.7,12.8928,77.6891,01-09-2022,PRM/KA/RERA/1251/446/PR/169006/79179
Nambiar Ellegenza,Nambiar Builders,Sarjapur,Bengaluru East,18494476,41085044,17732,01-09-2025,89,15.75,960,"1BHK, 2BHK, 3.5BHK, 4BHK",2,2,0,Clear title with no encumbrances.,4.6,2.92,0.88,60,1.0,0.9,12.8569,77.7014,07-05-2022,PRM/KA/RERA/1251/446/PR/678729/92330
UKN Miraya Rose,UKN Properties,Whitefield,Bengaluru East,13590544,52842840,16696,25-02-2027,28,16.42,1198,"1BHK, 4BHK",2,0,0,Clear title with no encumbrances.,4.9,4.79,0.78,72,1.0,0.82,12.8869,77.6532,23-03-2022,PRM/KA/RERA/1251/446/PR/469820/23119
Rohan Vasantha,Rohan Builders,Marathahalli,Bengaluru East,15716820,32491190,16270,13-05-2025,47,38.2,3017,"2BHK, 3.5BHK, 4BHK",10,0,0,Clear title with no encumbrances.,4.6,12.8,0.9,78,0.9,0.8,12.888,77.672,02-06-2020,PRM/KA/RERA/1251/446/PR/484691/22902
Sobha Cinnamon,Sobha Limited,Harlur,Bengaluru East,18144630,39896325,15615,05-09-2026,65,5.4,513,"1BHK, 4BHK",0,5,0,Clear title with no encumbrances.,4.8,2.47,0.77,95,0.9,0.88,12.9148,77.7159,09-05-2023,PRM/KA/RERA/1251/446/PR/941279/46333
Radiant Silver Oak,Radiant Group,Whitefield,Bengaluru East,13935080,29886000,11720,28-06-2023,100,23.93,1507,"1BHK, 2BHK, 3.5BHK",1,5,0,Clear title with no encumbrances.,4.1,2.19,0.96,62,1.0,0.77,12.8752,77.6591,24-12-2019,PRM/KA/RERA/1251/446/PR/605457/76678
Shriram Signiaa,Shriram Properties,Electronic City,Bengaluru South,12918807,35956753,11863,25-01-2022,100,35.07,2419,"2.5BHK, 3BHK, 4BHK",1,2,0,Clear title with no encumbrances.,4.2,4.1,0.83,68,0.8,0.88,12.9582,77.6559,06-02-2018,PRM/KA/RERA/1251/446/PR/941111/99984
Ozone Residenza,Ozone Group,Sarjapur,Bengaluru East,12621404,43018196,14642,25-02-2025,89,32.48,3150,"2BHK, 4BHK",0,10,0,Clear title with no encumbrances.,4.3,3.73,0.88,96,1.0,0.81,12.9533,77.6671,24-09-2020,PRM/KA/RERA/1251/446/PR/894208/34084
Assetz 63 Degree East,Assetz Property Group,Sarjapur,Bengaluru East,15830964,23879853,14823,14-01-2023,100,19.84,1964,"2.5BHK, 2BHK, 3.5BHK, 3BHK",1,2,1,"Clear, marketable title with disclosed litigation.",3.9,3.68,0.79,98,0.6,0.9,12.8964,77.7493,10-03-2020,PRM/KA/RERA/1251/446/PR/161424/98028
Vaishnavi Serene,Vaishnavi Group,Yelahanka,Bengaluru North,11874324,30801078,10934,05-03-2023,100,34.23,3286,"1BHK, 2BHK, 3.5BHK, 3BHK",5,2,0,Clear title with no encumbrances.,4.2,12.25,0.86,95,1.0,0.64,12.9714,77.7163,15-06-2018,PRM/KA/RERA/1251/446/PR/811684/76964
Prestige Tech Vista,Prestige Estates,Kadugodi,Bengaluru East,12004312,35931904,11576,21-03-2026,35,26.64,2370,"2BHK, 3.5BHK, 3BHK, 4BHK",0,2,0,Clear title with no encumbrances.,4.8,7.15,0.88,88,1.0,0.9,12.8715,77.6545,25-03-2023,PRM/KA/RERA/1251/446/PR/263711/92167
Sumadhura Folium,Sumadhura Group,Whitefield,Bengaluru East,11521440,28338660,11340,10-07-2025,26,20.59,1832,"2.5BHK, 4BHK",0,45,0,Clear title with no encumbrances.,4.6,2.26,0.96,88,0.4,0.86,12.9823,77.7219,16-12-2020,PRM/KA/RERA/1251/446/PR/772600/47257
DSR Green Fields,DSR Infraprojects,Whitefield,Bengaluru East,10469870,22348705,11455,14-12-2024,100,18.16,1362,"2BHK, 3.5BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.2,8.35,0.84,75,0.8,0.67,12.9232,77.7215,03-02-2020,PRM/KA/RERA/1251/446/PR/453846/31348
Mahaveer Ranches,Mahaveer Group,Harlur,Bengaluru East,15332688,22725234,13038,21-06-2021,100,22.6,1740,"1BHK, 3.5BHK, 3BHK, 4BHK",0,0,1,"Clear, marketable title with disclosed litigation.",4.6,11.96,0.97,76,0.9,0.94,12.9432,77.6817,28-04-2018,PRM/KA/RERA/1251/446/PR/774568/27412
Adarsh Palm Retreat,Adarsh Developers,Bellandur,Bengaluru East,9325212,18390524,10396,17-09-2025,62,18.33,1594,"3.5BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.0,1.33,0.96,86,1.0,0.63,12.8737,77.6882,20-03-2020,PRM/KA/RERA/1251/446/PR/476151/61553
Godrej United,Godrej Properties,Whitefield,Bengaluru East,17388980,62274820,17132,01-02-2028,49,15.91,1591,"1BHK, 2BHK, 3.5BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.1,13.33,0.94,100,0.8,0.66,12.9212,77.6665,20-05-2024,PRM/KA/RERA/1251/446/PR/643837/91522
Brigade Cosmopolis,Brigade Enterprises,Whitefield,Bengaluru East,11724250,25324380,10195,21-05-2026,12,11.48,1113,"1BHK, 2.5BHK",0,0,0,Clear title with no encumbrances.,4.6,3.13,0.78,96,0.9,0.68,12.8954,77.692,28-12-2021,PRM/KA/RERA/1251/446/PR/200602/60404
Gopalan Atlantis,Gopalan Enterprises,Whitefield,Bengaluru East,16828058,45142188,16042,26-07-2028,46,5.2,494,"1BHK, 2.5BHK, 2BHK, 3.5BHK",0,10,0,Clear title with no encumbrances.,4.3,4.06,0.92,95,0.9,0.87,12.9606,77.6568,05-02-2023,PRM/KA/RERA/1251/446/PR/350974/57475
Vaswani Brentwood,Vaswani Group,Brookefield,Bengaluru East,12200082,25950392,10618,28-04-2025,98,35.92,3556,"1BHK, 3.5BHK, 3BHK",0,2,0,Clear title with no encumbrances.,4.3,9.64,0.89,98,1.0,0.68,12.8588,77.6546,10-07-2022,PRM/KA/RERA/1251/446/PR/528285/28217
CASA Grand Meridian,CASA Grand,KR Puram,Bengaluru East,16061108,51206409,15503,16-03-2023,100,22.59,1649,"3.5BHK, 4BHK",2,5,0,Clear title with no encumbrances.,4.2,12.77,0.83,72,1.0,0.88,12.8971,77.7004,14-03-2019,PRM/KA/RERA/1251/446/PR/951570/83174
Prestige Ivy Terraces,Prestige Estates,Marathahalli,Bengaluru East,16198920,36371160,16980,19-07-2023,100,3.28,200,"1BHK, 2BHK, 3.5BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.8,3.12,0.9,60,1.0,0.78,12.9692,77.6821,27-12-2020,PRM/KA/RERA/1251/446/PR/855941/18711
SNN Raj Greenbay,SNN Estates,Electronic City,Bengaluru South,16912635,25137987,14901,25-04-2027,12,18.33,1154,"2.5BHK, 3.5BHK, 3BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.9,6.95,0.95,62,1.0,0.94,12.8515,77.6743,28-07-2022,PRM/KA/RERA/1251/446/PR/600230/71134
Raja Woods Park,Raja Housing,JP Nagar,Bengaluru South,11278080,42609996,11748,12-06-2025,37,9.41,743,"2.5BHK, 3.5BHK, 3BHK",2,0,0,Clear title with no encumbrances.,4.3,11.2,0.83,78,0.9,0.92,12.9951,77.6619,28-11-2021,PRM/KA/RERA/1251/446/PR/724684/29220
Prestige Langleigh,Prestige Estates,Whitefield,Bengaluru East,12205304,22983562,11602,16-01-2025,33,5.21,468,"2BHK, 3.5BHK, 3BHK, 4BHK",0,5,0,Clear title with no encumbrances.,4.1,1.89,0.78,89,0.9,0.94,12.9466,77.749,24-05-2022,PRM/KA/RERA/1251/446/PR/793238/80507
Bhartiya City Nikoo Homes 2,Bhartiya City,Thanisandra,Bengaluru North,11484306,24333084,12634,24-11-2027,93,36.53,2776,"2BHK, 3.5BHK, 4BHK",1,5,0,Clear title with no encumbrances.,4.6,3.16,0.85,75,0.8,0.84,12.899,77.6791,01-11-2023,PRM/KA/RERA/1251/446/PR/250601/74612
Sobha Rose,Sobha Limited,Whitefield,Bengaluru East,18368840,40630730,15890,26-06-2021,100,19.66,1494,"1BHK, 3.5BHK",0,2,0,Clear title with no encumbrances.,4.7,8.21,0.91,75,1.0,0.66,12.9447,77.6783,02-07-2018,PRM/KA/RERA/1251/446/PR/355747/47664
Krupa Altius,Krupa Builders,Whitefield,Bengaluru East,13666378,30927780,13217,05-07-2026,14,31.46,2768,"1BHK, 2.5BHK, 3.5BHK",1,2,0,Clear title with no encumbrances.,4.0,10.01,0.87,87,0.6,0.71,12.8864,77.7388,06-05-2021,PRM/KA/RERA/1251/446/PR/127594/20062
Total Environment Pursuit of a Radical Rhapsody,Total Environment,Whitefield,Bengaluru East,14081199,31833072,15423,28-05-2029,57,8.18,507,"1BHK, 2.5BHK, 3BHK",0,2,0,Clear title with no encumbrances.,4.0,4.65,0.86,61,1.0,0.85,12.9131,77.7073,25-01-2024,PRM/KA/RERA/1251/446/PR/806368/58484
Ozone WF48,Ozone Group,Mahadevapura,Bengaluru East,10626576,44626352,13168,03-08-2024,100,39.05,3826,"1BHK, 2BHK, 3.5BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.0,3.8,0.81,97,0.8,0.64,12.8575,77.7162,10-10-2019,PRM/KA/RERA/1251/446/PR/696349/72593
Prestige Fontaine Bleau,Prestige Estates,Whitefield,Bengaluru East,12539184,18493608,11256,17-07-2027,80,14.15,863,"2.5BHK, 3BHK",1,0,1,"Clear, marketable title with disclosed litigation.",4.0,8.16,0.86,60,1.0,0.91,12.944,77.7379,27-11-2024,PRM/KA/RERA/1251/446/PR/991666/12175
Assetz Bloom and Dell,Assetz Property Group,Whitefield,Bengaluru East,12059360,41635980,12995,28-04-2029,35,38.27,2793,"1BHK, 2.5BHK, 2BHK, 3.5BHK",2,5,0,Clear title with no encumbrances.,4.0,3.61,0.85,72,0.9,0.74,12.9195,77.6998,05-10-2024,PRM/KA/RERA/1251/446/PR/220480/86905
Pioneer White Orchid,Pioneer Developers,Whitefield,Bengaluru East,11005372,30611196,11452,25-03-2022,100,9.33,755,"1BHK, 2BHK, 4BHK",2,2,0,Clear title with no encumbrances.,4.9,9.29,0.93,80,0.4,0.61,12.9072,77.6578,20-07-2019,PRM/KA/RERA/1251/446/PR/461717/16671
Godrej Reflections,Godrej Properties,Sarjapur,Bengaluru East,13954220,47702970,14210,20-09-2027,61,31.62,2213,"2.5BHK, 3.5BHK, 3BHK, 4BHK",1,2,0,Clear title with no encumbrances.,4.7,7.22,0.94,69,0.9,0.8,12.9979,77.6587,05-04-2023,PRM/KA/RERA/1251/446/PR/358084/63030
Mahindra Eden,Mahindra Lifespaces,Kanakapura Road,Bengaluru East,8833748,20409004,10879,17-12-2026,34,25.76,2241,"1BHK, 3.5BHK",0,45,0,Clear title with no encumbrances.,3.8,10.79,0.75,86,1.0,0.8,12.9504,77.7154,13-04-2022,PRM/KA/RERA/1251/446/PR/865173/33733
DS MAX Starnest,DS MAX Properties,Electronic City,Bengaluru South,10616697,34608600,10179,28-12-2027,81,33.86,2674,"2.5BHK, 2BHK, 3.5BHK, 3BHK",1,2,0,Clear title with no encumbrances.,4.7,1.57,0.76,78,1.0,0.71,12.8921,77.6902,27-09-2024,PRM/KA/RERA/1251/446/PR/121587/86553
Total Environment The Magic Faraway Tree,Total Environment,Kanakapura Road,Bengaluru East,15313152,30234432,15072,23-09-2028,16,12.2,878,"1BHK, 2.5BHK",0,0,0,Clear title with no encumbrances.,4.3,4.14,0.94,71,1.0,0.87,12.8833,77.6576,16-10-2023,PRM/KA/RERA/1251/446/PR/626987/40134
Sobha Chrysanthemum,Sobha Limited,Thanisandra,Bengaluru North,16447887,32272426,14167,07-07-2024,100,32.58,3258,"3.5BHK, 3BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.1,13.82,0.88,100,0.9,0.86,12.9961,77.6652,23-10-2021,PRM/KA/RERA/1251/446/PR/721395/32246
Arvind Sporcia,Arvind SmartSpaces,Hebbal,Bengaluru North,13202230,44755700,14030,12-02-2024,100,28.11,2586,"2.5BHK, 3.5BHK",0,10,0,Clear title with no encumbrances.,4.5,11.95,0.91,91,1.0,0.73,12.9273,77.6817,06-10-2021,PRM/KA/RERA/1251/446/PR/965843/86186
Shriram Luxor,Shriram Properties,Hennur,Bengaluru North,12522868,41872300,11092,28-09-2026,21,20.12,1710,"1BHK, 2.5BHK, 3.5BHK, 3BHK",0,2,0,Clear title with no encumbrances.,4.5,13.7,0.87,84,0.9,0.85,12.9573,77.747,23-10-2023,PRM/KA/RERA/1251/446/PR/891838/93174
Assetz 38 and Banyan,Assetz Property Group,CV Raman Nagar,Bengaluru East,14413605,39388569,12927,18-12-2027,32,17.56,1545,"1BHK, 3.5BHK",1,2,0,Clear title with no encumbrances.,4.5,2.33,0.93,87,0.9,0.94,12.87,77.6973,17-05-2022,PRM/KA/RERA/1251/446/PR/441986/21665
Total Environment Windmills of Your Mind,Total Environment,Whitefield,Bengaluru East,13516184,28484520,13963,13-09-2025,33,14.85,1009,"1BHK, 2.5BHK, 3.5BHK",1,0,1,"Clear, marketable title with disclosed litigation.",3.9,12.01,0.86,67,1.0,0.82,12.9665,77.7424,04-06-2021,PRM/KA/RERA/1251/446/PR/530335/81863
Adarsh Tranqville,Adarsh Developers,Hennur,Bengaluru North,12093156,53386512,14244,02-04-2021,100,35.91,2980,"1BHK, 3.5BHK, 3BHK, 4BHK",1,0,0,Clear title with no encumbrances.,4.7,12.42,0.89,82,0.4,0.69,12.8554,77.7042,23-07-2018,PRM/KA/RERA/1251/446/PR/182766/31308
Sobha Silicon Oasis,Sobha Limited,Electronic City,Bengaluru South,18220739,45989932,17881,07-11-2027,29,5.19,347,"1BHK, 2BHK, 3.5BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.2,7.54,0.75,66,0.9,0.69,12.8887,77.7116,02-01-2023,PRM/KA/RERA/1251/446/PR/393996/17114
Mana Foresta,Mana Projects,Sarjapur,Bengaluru East,11785926,37607586,12783,09-10-2026,42,39.47,2802,"2.5BHK, 2BHK, 3BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.7,12.59,0.77,70,0.8,0.75,12.9257,77.6966,16-07-2021,PRM/KA/RERA/1251/446/PR/188194/80196
Prestige Mayberry,Prestige Estates,Whitefield,Bengaluru East,15187536,30715818,16226,12-01-2026,64,32.98,2209,"2.5BHK, 3BHK, 4BHK",1,0,2,"Clear, marketable title with disclosed litigation.",4.0,4.22,0.92,66,1.0,0.79,12.8569,77.7354,11-09-2021,PRM/KA/RERA/1251/446/PR/963255/14028
KNS Unnati,KNS Infrastructure,Sarjapur,Bengaluru East,19362507,67051332,16881,22-05-2021,100,21.01,1659,"2BHK, 3BHK",1,0,0,Clear title with no encumbrances.,4.9,1.78,0.77,78,1.0,0.69,12.9539,77.6693,28-02-2018,PRM/KA/RERA/1251/446/PR/422305/88070
Sobha Morzaria Grandeur,Sobha Limited,Koramangala,Bengaluru East,9265602,29395044,10446,24-06-2025,94,17.53,1542,"1BHK, 2.5BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.3,10.29,0.91,87,1.0,0.71,12.9842,77.6886,22-05-2022,PRM/KA/RERA/1251/446/PR/769786/35119
Sobha Windsor,Sobha Limited,Whitefield,Bengaluru East,16337188,66506920,17548,10-07-2024,100,21.6,1447,"1BHK, 2.5BHK, 3.5BHK, 3BHK",1,0,0,Clear title with no encumbrances.,3.9,14.21,0.91,66,1.0,0.7,12.9628,77.6546,01-10-2019,PRM/KA/RERA/1251/446/PR/529043/24255
Adarsh Wisteria,Adarsh Developers,Hennur,Bengaluru North,11104249,17621706,11701,06-07-2027,23,15.54,1367,"1BHK, 2.5BHK, 3.5BHK, 3BHK",0,0,0,Clear title with no encumbrances.,3.8,3.28,0.94,87,1.0,0.8,12.896,77.7132,13-02-2024,PRM/KA/RERA/1251/446/PR/268154/63660
Prestige Shantiniketan,Prestige Estates,Whitefield,Bengaluru East,12793864,36030776,11302,27-10-2026,89,4.39,421,"1BHK, 2BHK, 3.5BHK, 3BHK",0,0,0,Clear title with no encumbrances.,4.7,8.32,0.81,95,0.6,0.75,12.8797,77.6703,07-03-2023,PRM/KA/RERA/1251/446/PR/409075/96759
Alembic Urban Forest,Alembic Real Estate,Whitefield,Bengaluru East,19939545,32994135,17883,25-01-2025,15,6.85,465,"2.5BHK, 2BHK, 3.5BHK, 3BHK",1,5,0,Clear title with no encumbrances.,4.6,7.35,0.88,67,1.0,0.64,12.9457,77.6573,01-12-2020,PRM/KA/RERA/1251/446/PR/646273/59276
Salarpuria Sattva Water's Edge,Salarpuria Sattva,Hebbal,Bengaluru North,13939848,21728304,12402,02-05-2025,67,25.37,2105,"1BHK, 2.5BHK",0,20,0,Clear title with no encumbrances.,4.6,2.43,0.84,82,0.9,0.91,12.8806,77.6585,18-08-2022,PRM/KA/RERA/1251/446/PR/391037/72011
SJR Watermark,SJR Primecorp,Ambalipura,Bengaluru East,16283796,39672694,15247,25-03-2023,100,5.73,355,"1BHK, 2BHK, 4BHK",0,5,0,Clear title with no encumbrances.,4.2,4.99,0.77,61,0.6,0.89,12.9646,77.7095,26-07-2019,PRM/KA/RERA/1251/446/PR/221489/90066
Sobha Neopolis,Sobha Limited,Panathur,Bengaluru East,14591625,43687200,12525,07-12-2027,29,19.69,1260,"2.5BHK, 3.5BHK",0,0,0,Clear title with no encumbrances.,4.1,6.23,0.97,63,0.8,0.93,12.8568,77.6705,27-04-2023,PRM/KA/RERA/1251/446/PR/397454/87991
Purva Atmosphere,Puravankara,Thanisandra,Bengaluru North,11785187,25860273,11989,11-02-2024,100,7.0,448,"1BHK, 2.5BHK, 3.5BHK",0,0,2,"Clear, marketable title with disclosed litigation.",3.8,12.46,0.91,64,0.8,0.65,12.9736,77.7099,19-08-2019,PRM/KA/RERA/1251/446/PR/690834/36296
Sobha Halcyon,Sobha Limited,Whitefield,Bengaluru East,15930114,37554978,15186,13-08-2022,100,33.17,2587,"3BHK, 4BHK",0,20,0,Clear title with no encumbrances.,4.1,12.71,0.84,77,0.9,0.61,12.9766,77.6744,28-04-2018,PRM/KA/RERA/1251/446/PR/713321/71213
Adarsh Premia,Adarsh Developers,Banashankari,Bengaluru East,15507667,63513141,16657,26-05-2023,100,27.85,2283,"2.5BHK, 3BHK",1,20,0,Clear title with no encumbrances.,4.8,6.59,0.93,81,0.9,0.9,12.9506,77.686,28-01-2019,PRM/KA/RERA/1251/446/PR/939091/81155
Shriram Chirping Woods,Shriram Properties,Harlur,Bengaluru East,13610796,54784266,16242,12-02-2021,100,31.08,2766,"2BHK, 3.5BHK, 3BHK, 4BHK",0,2,0,Clear title with no encumbrances.,4.3,5.83,0.79,88,0.8,0.87,12.973,77.651,11-04-2018,PRM/KA/RERA/1251/446/PR/965663/93974
Sumadhura Shikaram,Sumadhura Group,Whitefield,Bengaluru East,9913706,21361966,12179,14-04-2023,100,33.69,2526,"1BHK, 2BHK, 3BHK",1,2,0,Clear title with no encumbrances.,4.1,1.79,0.82,74,0.9,0.67,12.8999,77.6857,07-10-2018,PRM/KA/RERA/1251/446/PR/878449/36828
Total Environment Learning to Fly,Total Environment,JP Nagar,Bengaluru South,17343018,29370978,16254,18-09-2023,100,3.75,356,"2BHK, 3.5BHK, 3BHK, 4BHK",0,2,0,Clear title with no encumbrances.,4.0,2.15,0.8,94,1.0,0.64,12.9872,77.6838,12-03-2018,PRM/KA/RERA/1251/446/PR/303974/49941
Assetz Capital 83,Assetz Property Group,Sarjapur,Bengaluru East,12858385,31105661,12923,06-01-2023,100,22.04,1675,"2.5BHK, 4BHK",0,0,2,"Clear, marketable title with disclosed litigation.",4.6,6.42,0.8,75,1.0,0.76,12.9771,77.6882,20-12-2019,PRM/KA/RERA/1251/446/PR/373068/32488
Gopalan Grandeur,Gopalan Enterprises,Hoodi,Bengaluru East,19676313,25809408,16803,26-10-2026,33,38.25,3519,"2.5BHK, 3.5BHK, 3BHK, 4BHK",0,45,0,Clear title with no encumbrances.,4.4,10.47,0.81,92,0.6,0.8,12.8927,77.7022,06-04-2022,PRM/KA/RERA/1251/446/PR/542645/81569
